time,price
2026-03-02T09:30:00+00:00,1958.12
2026-03-02T09:30:01+00:00,1958.6
2026-03-02T09:30:02+00:00,1958.89
2026-03-02T09:30:03+00:00,1958.9
2026-03-02T09:30:04+00:00,1959.04
2026-03-02T09:30:05+00:00,1959.04
2026-03-02T09:30:06+00:00,1959.04
2026-03-02T09:30:07+00:00,1959.43
2026-03-02T09:30:08+00:00,1959.44
2026-03-02T09:30:09+00:00,1959.44
2026-03-02T09:30:10+00:00,1959.43
2026-03-02T09:30:11+00:00,1959.43
2026-03-02T09:30:12+00:00,1959.43
2026-03-02T09:30:13+00:00,1959.51
2026-03-02T09:30:14+00:00,1959.51
2026-03-02T09:30:15+00:00,1959.52
2026-03-02T09:30:16+00:00,1959.51
2026-03-02T09:30:17+00:00,1959.51
2026-03-02T09:30:18+00:00,1959.51
2026-03-02T09:30:19+00:00,1959.44
2026-03-02T09:30:20+00:00,1959.44
2026-03-02T09:30:21+00:00,1959.44
2026-03-02T09:30:22+00:00,1959.44
2026-03-02T09:30:23+00:00,1959.17
2026-03-02T09:30:25+00:00,1959.18
2026-03-02T09:30:26+00:00,1959.18
2026-03-02T09:30:28+00:00,1959.18
2026-03-02T09:30:29+00:00,1959.18
2026-03-02T09:30:30+00:00,1959.18
2026-03-02T09:30:31+00:00,1959.18
2026-03-02T09:30:32+00:00,1959.18
2026-03-02T09:30:33+00:00,1959.17
2026-03-02T09:30:34+00:00,1959.18
2026-03-02T09:30:35+00:00,1959.18
2026-03-02T09:30:36+00:00,1959.18
2026-03-02T09:30:37+00:00,1959.17
2026-03-02T09:30:38+00:00,1959.49
2026-03-02T09:30:39+00:00,1959.52
2026-03-02T09:30:40+00:00,1959.52
2026-03-02T09:30:41+00:00,1959.51
2026-03-02T09:30:42+00:00,1959.33
2026-03-02T09:30:43+00:00,1959.07
2026-03-02T09:30:44+00:00,1959.07
2026-03-02T09:30:45+00:00,1959.05
2026-03-02T09:30:46+00:00,1959.05
2026-03-02T09:30:47+00:00,1959.04
2026-03-02T09:30:48+00:00,1959.03
2026-03-02T09:30:49+00:00,1959.04
2026-03-02T09:30:50+00:00,1959.31
2026-03-02T09:30:51+00:00,1959.31
2026-03-02T09:30:52+00:00,1959.31
2026-03-02T09:30:53+00:00,1959.31
2026-03-02T09:30:54+00:00,1959.32
2026-03-02T09:30:55+00:00,1959.48
2026-03-02T09:30:56+00:00,1959.49
2026-03-02T09:30:57+00:00,1959.48
2026-03-02T09:30:58+00:00,1959.33
2026-03-02T09:30:59+00:00,1959.33
2026-03-02T09:31:00+00:00,1959.33
2026-03-02T09:31:01+00:00,1959.33
2026-03-02T09:31:02+00:00,1959.33
2026-03-02T09:31:03+00:00,1959.32
2026-03-02T09:31:04+00:00,1959.61
2026-03-02T09:31:05+00:00,1959.62
2026-03-02T09:31:06+00:00,1959.61
2026-03-02T09:31:07+00:00,1959.61
2026-03-02T09:31:08+00:00,1959.61
2026-03-02T09:31:09+00:00,1959.61
2026-03-02T09:31:10+00:00,1959.61
2026-03-02T09:31:11+00:00,1959.62
2026-03-02T09:31:12+00:00,1959.61
2026-03-02T09:31:13+00:00,1959.62
2026-03-02T09:31:14+00:00,1959.9
2026-03-02T09:31:15+00:00,1959.9
2026-03-02T09:31:16+00:00,1960.0
2026-03-02T09:31:18+00:00,1960.0
2026-03-02T09:31:19+00:00,1960.0
2026-03-02T09:31:20+00:00,1959.71
2026-03-02T09:31:21+00:00,1959.71
2026-03-02T09:31:22+00:00,1960.09
2026-03-02T09:31:23+00:00,1960.4
2026-03-02T09:31:24+00:00,1960.39
2026-03-02T09:31:25+00:00,1960.39
2026-03-02T09:31:27+00:00,1960.4
2026-03-02T09:31:28+00:00,1960.39
2026-03-02T09:31:29+00:00,1960.52
2026-03-02T09:31:30+00:00,1960.73
2026-03-02T09:31:31+00:00,1960.83
2026-03-02T09:31:32+00:00,1961.11
2026-03-02T09:31:33+00:00,1961.44
2026-03-02T09:31:34+00:00,1961.44
2026-03-02T09:31:35+00:00,1961.67
2026-03-02T09:31:36+00:00,1961.79
2026-03-02T09:31:37+00:00,1961.99
2026-03-02T09:31:38+00:00,1961.99
2026-03-02T09:31:39+00:00,1962.44
2026-03-02T09:31:40+00:00,1962.65
2026-03-02T09:31:41+00:00,1962.77
2026-03-02T09:31:42+00:00,1962.28
2026-03-02T09:31:43+00:00,1962.25
2026-03-02T09:31:44+00:00,1962.25
2026-03-02T09:31:45+00:00,1962.24
2026-03-02T09:31:46+00:00,1962.24
2026-03-02T09:31:47+00:00,1962.24
2026-03-02T09:31:48+00:00,1962.24
2026-03-02T09:31:49+00:00,1961.78
2026-03-02T09:31:50+00:00,1961.78
2026-03-02T09:31:51+00:00,1961.74
2026-03-02T09:31:52+00:00,1961.28
2026-03-02T09:31:53+00:00,1961.28
2026-03-02T09:31:55+00:00,1961.59
2026-03-02T09:31:56+00:00,1961.78
2026-03-02T09:31:57+00:00,1961.78
2026-03-02T09:31:58+00:00,1961.93
2026-03-02T09:31:59+00:00,1961.93
2026-03-02T09:32:00+00:00,1962.07
2026-03-02T09:32:01+00:00,1961.89
2026-03-02T09:32:02+00:00,1962.16
2026-03-02T09:32:03+00:00,1962.23
2026-03-02T09:32:04+00:00,1962.25
2026-03-02T09:32:05+00:00,1962.35
2026-03-02T09:32:06+00:00,1962.35
2026-03-02T09:32:07+00:00,1962.35
2026-03-02T09:32:08+00:00,1962.35
2026-03-02T09:32:09+00:00,1962.34
2026-03-02T09:32:10+00:00,1962.34
2026-03-02T09:32:11+00:00,1962.34
2026-03-02T09:32:12+00:00,1962.34
2026-03-02T09:32:13+00:00,1962.35
2026-03-02T09:32:14+00:00,1961.93
2026-03-02T09:32:15+00:00,1962.0
2026-03-02T09:32:16+00:00,1962.12
2026-03-02T09:32:19+00:00,1962.01
2026-03-02T09:32:20+00:00,1962.13
2026-03-02T09:32:21+00:00,1962.08
2026-03-02T09:32:22+00:00,1962.3
2026-03-02T09:32:23+00:00,1962.29
2026-03-02T09:32:24+00:00,1962.29
2026-03-02T09:32:25+00:00,1962.3
2026-03-02T09:32:26+00:00,1962.59
2026-03-02T09:32:27+00:00,1961.78
2026-03-02T09:32:28+00:00,1961.78
2026-03-02T09:32:29+00:00,1961.79
2026-03-02T09:32:30+00:00,1961.78
2026-03-02T09:32:32+00:00,1961.56
2026-03-02T09:32:34+00:00,1963.38
2026-03-02T09:32:35+00:00,1963.21
2026-03-02T09:32:36+00:00,1963.21
2026-03-02T09:32:37+00:00,1963.2
2026-03-02T09:32:38+00:00,1962.96
2026-03-02T09:32:39+00:00,1962.96
2026-03-02T09:32:40+00:00,1962.95
2026-03-02T09:32:41+00:00,1962.78
2026-03-02T09:32:42+00:00,1962.76
2026-03-02T09:32:43+00:00,1962.7
2026-03-02T09:32:44+00:00,1963.1
2026-03-02T09:32:45+00:00,1963.06
2026-03-02T09:32:46+00:00,1963.06
2026-03-02T09:32:47+00:00,1963.07
